id,rle_mask
9a4d1749d4,73 29 175 28 276 28 377 28 478 28 580 27 681 27 783 26 884 26 986 25 1087 25 1189 24 1290 24 1391 24 1493 23 1594 23 1696 22 1797 22 1898 22 1999 22 2101 21 2202 21 2303 21 2405 20 2506 20 2607 20 2708 20 2809 20 2910 20 3011 20 3112 20 3213 20 3315 19 3416 19 3517 19 3618 19 3720 18 3821 18 3922 18 4023 18 4124 18 4225 18 4326 18 4427 18 4528 18 4629 18 4730 18 4831 18 4932 18 5033 18 5134 18 5235 18 5336 18 5437 18 5538 18 5638 19 5739 19 5839 20 5940 20 6040 21 6141 21 6241 22 6342 22 6442 23 6543 23 6643 24 6744 24 6845 24 6945 25 7046 25 7146 26 7247 26 7348 26 7450 25 7551 25 7653 24 7754 24 7855 24 7957 23 8058 23 8160 22 8261 22 8363 21 8464 21 8566 20 8667 20 8769 19 8870 19 8972 18 9073 18 9175 17 9277 16 9379 15 9481 14 9583 13 9685 12 9787 11 9889 10 9991 9 10093 8 10194 8
5e52f098d9,
cc2b6a1eb2,
76784fa72d,
5b01231632,
382b3f0c24,
e169daa2d7,5581 20 5674 59 5764 81 5859 4343
e9a6d47f94,
c2ec2c9de4,
b01d2e5375,
aebf30c3c7,1 6664 6667 95 6768 91 6869 86 6974 76 7121 13
63e0650693,1 23 102 23 203 22 304 21 405 19 506 18 607 17 708 16 809 15 910 14 1011 13 1112 13 1213 12 1314 12 1415 11 1516 11 1617 11 1718 10 1819 9 1920 9 2021 8 2122 7 2223 7 2324 6 2427 3 2528 1
60969ee8a0,
3e95d4417b,2321 3 2419 6 2517 9 2613 14 2710 18 2808 21 2906 24 3004 27 3100 32 3196 37 3292 42 3388 47 3483 53 3575 62 3667 71 3749 6453
21006cd47c,59 43 161 42 262 42 365 40 468 38 571 36 673 35 775 34 878 32 980 31 1081 31 1183 30 1285 29 1386 29 1488 28 1589 28 1690 28 1792 27 1893 27 1994 27 2096 26 2197 26 2299 25 2400 25 2502 24 2603 24 2705 23 2807 22 2909 21 3010 21 3112 20 3214 19 3315 19 3417 18 3518 18 3620 17 3722 16 3823 16 3924 16 4026 15 4127 15 4229 14 4330 14 4431 14 4533 13 4634 13 4736 12 4837 12 4939 11 5040 11 5142 10 5243 10 5345 9 5446 9 5548 8 5649 8 5751 7 5853 6 5955 5 6057 4 6158 4 6260 3 6362 2 6464 1
30a5a8d3c5,
f89a479c21,
8cd826bc5b,2 13 102 15 203 14 304 14 405 13 506 12 607 12 708 12 809 12 910 12 1011 12 1112 13 1126 1 1213 16 1314 17 1415 18 1516 19 1617 19 1718 20 1819 20 1920 20 2021 20 2122 20 2223 20 2324 20 2425 20 2526 20 2627 20 2728 21 2829 21 2930 21 3031 21 3132 21 3233 22 3334 23 3435 23 3536 24 3637 26 3738 27 3839 30 3940 33 4041 36 4142 41 4243 50 4298 24 4344 85 4445 89 4546 92 4647 5555
9c4fed0493,9423 12 9512 33 9608 45 9706 54 9806 60 9906 63 10007 64 10108 64
78c843da8a,8077 4 8174 8 8273 10 8372 12 8472 13 8571 15 8671 16 8770 18 8868 21 8967 23 9065 26 9163 29 9260 33 9359 35 9458 37 9556 40 9656 41 9755 43 9854 45 9954 46 10054 47 10154 48
fe4930a905,6566 3 6667 5 6768 7 6869 9 6970 11 7071 14 7172 17 7273 21 7374 25 7475 28 7576 31 7677 33 7778 35 7879 36 7980 37 8081 38 8182 38 8283 37 8384 37 8485 37 8586 36 8687 36 8788 36 8889 36 8990 36 9091 36 9192 37 9293 37 9394 38 9495 40 9596 41 9697 44 9798 46 9899 48 10000 49 10101 49
1dde15c583,
034f55162e,
ad212e6869,
4d640602cc,
42d68dbc86,1 18 102 18 203 17 304 17 405 16 506 16 607 15 708 15 809 14 910 14 1011 14 1112 14 1213 15 1314 15 1415 16 1516 17 1617 18 1718 19 1819 20 1920 22 2021 24 2122 25 2223 27 2324 28 2425 29 2526 31 2627 32 2728 32 2829 33 2930 34 3031 34 3132 34 3233 34 3334 34 3435 34 3536 33 3637 32 3738 32 3839 31 3940 30 4041 29 4142 28 4243 28 4344 27 4445 27 4546 27 4647 26 4748 26 4849 27 4950 27 5051 27 5152 28 5253 28 5354 29 5455 30 5556 31 5657 32 5758 33 5859 35 5960 36 6061 37 6162 37 6263 38 6364 39 6465 39 6566 40 6667 40 6768 40 6869 40 6970 40 7071 40 7172 40 7273 40 7374 39 7475 39 7576 38 7677 38 7778 38 7879 37 7980 37 8081 37 8182 36 8283 36 8384 35 8485 35 8586 34 8687 34 8788 33 8889 32 8990 31 9091 30 9192 30 9293 29 9394 28 9495 27 9596 27 9697 26 9798 26 9899 26 10000 26 10101 26
29ceeed519,
648ac9c05a,
5b6d177013,1 700 708 91 809 89 910 88 1011 86 1112 85 1213 83 1314 80 1415 77 1516 72 1617 65 1718 59 1819 53 1920 49 2021 45 2122 41 2223 35 2324 29 2425 23 2526 17 2627 11 2728 6 2829 3
532012ac5a,
fa9aec9e27,31 71 132 71 234 70 337 68 441 65 545 62 648 60 751 58 853 57 956 55 1058 54 1160 53 1262 52 1364 51 1466 50 1568 49 1670 48 1771 48 1872 48 1973 48 2075 47 2176 47 2278 46 2379 46 2480 46 2582 45 2683 45 2785 44 2886 44 2988 43 3090 42 3191 42 3293 41 3394 41 3496 40 3597 40 3698 40 3800 39 3901 39 4003 38 4104 38 4205 38 4306 38 4407 38 4508 38 4609 38 4710 38 4811 38 4912 38 5012 39 5113 39 5214 39 5315 39 5415 40 5516 40 5617 40 5718 40 5819 40 5920 40 6021 40 6122 40 6223 40 6324 40 6425 40 6526 40 6627 40 6728 40 6829 40 6930 40 7031 40 7132 40 7233 40 7334 40 7435 40 7536 40 7637 40 7738 40 7838 41 7939 41 8039 42 8140 42 8241 42 8342 42 8442 43 8543 43 8643 44 8744 44 8844 45 8945 45 9045 46 9146 46 9246 47 9347 47 9447 48 9547 49 9648 49 9748 50 9848 51 9948 52 10049 52 10150 52
316d5719d5,
0d2789f1a0,
31aa522509,
9f75213aa3,8079 2 8175 4 8180 2 8275 8 8371 13 8471 14 8570 16 8670 17 8769 19 8868 21 8965 25 9063 28 9162 30 9260 39 9359 45 9457 52 9553 77 9647 554
8f955e935c,
92f0273998,1312 2 1410 5 1508 8 1604 13 1700 18 1796 23 1892 28 1987 34 2085 37 2183 40 2282 42 2380 45 2480 46 2579 48 2678 50 2777 52 2875 55 2974 57 3072 60 3171 62 3269 65 3368 67 3467 69 3566 71 3666 72 3766 73 3866 74 3967 74 4067 75 4168 75 4268 76 4369 76 4470 76 4571 76 4672 76 4772 77 4873 77 4973 78 5074 78 5174 79 5275 79 5375 80 5476 80 5577 80 5679 79 5781 78 5883 77 5985 76 6088 74 6192 71 6296 68 6399 66 6504 62 6608 59 6714 54 6820 49 6925 45 7029 42 7134 38 7238 35 7342 32 7446 29 7551 25 7655 22 7759 19 7864 15 7968 12 8072 9 8176 6 8279 4 8383 1
5ec71d2e6e,1920 1 2021 6 2122 11 2223 15 2324 21 2425 27 2526 31 2627 34 2728 38 2829 40 2930 42 3031 44 3132 46 3233 48 3334 49 3435 51 3536 52 3637 53 3738 55 3839 56 3940 56 4041 57 4142 58 4243 58 4344 59 4445 60 4546 60 4647 61 4748 62 4849 63 4950 64 5051 65 5152 66 5253 68 5354 69 5455 70 5556 71 5657 73 5758 74 5859 75 5960 76 6061 77 6162 77 6263 78 6364 79 6465 79 6566 80 6667 81 6768 81 6869 82 6970 83 7071 84 7172 84 7273 85 7374 86 7475 87 7576 88 7677 90 7778 91 7879 93 7980 95 8081 97 8182 2020
4d19875184,1 100 102 4848 4951 100 5053 99 5156 97 5262 92 5367 37 5408 47 5472 19 5516 40 5578 11 5621 36 5725 33 5830 21 5852 7 5934 15 6038 10
00f342f248,
30a31f4de8,
bfb44314b2,25 77 126 77 227 77 328 77 429 77 530 77 631 77 732 77 833 77 934 77 1035 77 1136 77 1237 77 1337 78 1438 78 1539 78 1640 78 1741 78 1842 78 1943 78 2044 78 2145 78 2246 78 2347 78 2448 78 2549 78 2650 78 2750 79 2851 79 2952 79 3053 79 3154 79 3255 79 3356 79 3457 79 3558 79 3659 79 3760 79 3861 79 3962 79 4062 80 4163 80 4264 80 4365 80 4466 80 4567 80 4667 81 4768 81 4869 81 4969 82 5070 82 5171 82 5272 82 5373 82 5474 82 5575 82 5676 82 5777 82 5878 82 5979 82 6080 82 6181 82 6282 82 6384 81 6485 81 6586 81 6687 81 6787 82 6888 82 6989 82 7090 82 7191 82 7292 82 7393 82 7493 83 7594 83 7695 83 7795 84 7896 84 7997 84 8098 84 8199 84 8299 85 8400 85 8501 85 8602 85 8702 86 8803 86 8904 86 9005 86 9106 86 9207 86 9308 86 9409 86 9510 86 9611 86 9712 86 9813 86 9914 86 10015 86 10116 86
055f01a5c9,36 29 67 11 135 46 236 46 336 48 436 50 537 51 637 53 737 55 836 58 936 60 1035 63 1132 68 1215 87 1314 89 1415 90 1516 92 1617 8585
95e0620119,
cfe755cfcd,
c279e2e81b,
6d25e0f3a7,743 21 769 2 842 35 880 6 941 50 1037 59 1136 63 1232 70 1328 84 1413 1 1425 91 1520 97 1619 99 1719 8483
36bd172c8d,
70ae581728,
1e10c8b214,
132cea196e,
6b67b187e3,
581430fbf1,4950 7 5051 15 5152 28 5253 36 5354 43 5455 51 5556 62 5657 68 5758 74 5859 80 5960 90 6059 4143
bfac5970fb,8288 1
0988338304,
59f5a1afc7,
8d7b7baf47,41 61 138 65 238 66 335 70 407 8 418 1 429 271 702 95 809 86 910 83 1011 81 1112 78 1213 74 1314 67 1415 59 1516 53 1617 46 1718 41 1819 38 1920 35 2021 31 2122 29 2223 26 2324 25 2425 23 2526 21 2627 19 2728 16 2829 13 2930 7 5070 22 5167 33 5265 41 5363 48 5462 53 5561 58 5661 61 5760 66 5859 70 5960 73 6061 75 6162 76 6263 78 6364 79 6465 80 6567 80 6669 79 6771 79 6873 79 6975 79 7076 80 7178 79 7279 80 7381 80 7482 81 7584 81 7685 82 7787 82 7888 84 7989 85 8090 86 8191 86 8292 87 8393 87 8494 88 8596 87 8697 86 8798 86 8899 85 9000 84 9100 84 9201 82 9302 81 9403 80 9504 79 9605 78 9706 77 9807 76 9908 76 10009 75 10110 75
3d73f32e1e,1 40 102 40 203 39 304 39 405 39 506 38 607 38 708 37 809 37 910 36 1011 36 1112 35 1213 35 1314 34 1415 34 1516 33 1617 32 1718 31 1819 31 1920 30 2021 29 2122 28 2223 28 2324 27 2425 26 2526 25 2627 25 2728 24 2829 23 2930 22 3031 21 3132 19 3233 18 3334 17 3435 16 3536 15 3637 13 3738 11 3839 9 3940 7 4041 5 4142 4 4243 1
c88d7d3c76,
7a1f58855d,6463 2 6563 3 6663 4 6762 6 6862 7 6962 8 7062 9 7162 10 7261 12 7361 13 7461 14 7561 15 7660 17 7760 18 7859 20 7959 21 8059 22 8159 23 8259 24 8359 25 8460 25 8561 25 8662 25 8763 25 8865 24 8966 24 9068 23 9169 23 9270 23 9371 23 9472 23 9573 23 9673 24 9774 24 9875 24 9975 25 10076 25 10177 25
8bcd5f745b,80 22 181 22 281 23 382 23 483 23 583 24 684 24 784 25 884 26 984 27 1084 28 1185 28 1285 29 1385 30 1486 30 1586 31 1687 31 1787 32 1887 33 1988 33 2088 34 2188 35 2288 36 2389 36 2489 37 2589 38 2690 38 2790 39 2891 39 2991 40 3092 40 3194 39 3295 39 3397 38 3498 38 3599 38 3701 37 3803 36 3904 36 4005 36 4107 35 4208 35 4309 35 4411 34 4512 34 4613 34 4714 34 4815 34 4916 34 5017 34 5118 34 5218 35 5319 35 5420 35 5520 36 5621 36 5722 36 5822 37 5923 37 6023 38 6124 38 6224 39 6324 40 6425 40 6526 40 6626 41 6727 41 6827 42 6928 42 7029 42 7129 43 7230 43 7331 43 7432 43 7533 43 7634 43 7736 42 7837 42 7938 42 8039 42 8140 42 8242 41 8343 41 8445 40 8546 40 8647 40 8748 40 8850 39 8951 39 9052 39 9153 39 9255 38 9356 38 9457 38 9558 38 9659 38 9760 38 9861 38 9961 39 10062 39 10163 39
8dd3227410,4243 6 4344 9 4445 11 4546 13 4647 15 4748 17 4849 19 4950 21 5051 23 5152 25 5253 27 5354 30 5455 33 5556 36 5657 39 5758 44 5859 49 5960 54 6061 56 6162 59 6263 61 6364 63 6465 65 6566 67 6667 69 6768 72 6869 75 6970 79 7071 82 7172 85 7273 88 7374 91 7475 93 7576 96 7677 100 7778 303 8087 95 8191 92 8295 89 8398 87 8501 85 8604 83 8707 81 8809 80 8912 78 9015 76 9118 74 9221 72 9324 70 9427 68 9529 67 9632 65 9735 63 9838 61 9941 59 10043 58 10144 58
ac2af593c2,1 40 102 40 203 41 304 42 405 43 506 44 607 45 708 45 809 46 910 47 1011 48 1112 49 1213 50 1314 51 1415 51 1516 53 1617 54 1718 55 1819 57 1920 58 2021 60 2122 62 2223 64 2324 66 2425 67 2526 69 2627 71 2728 72 2829 73 2930 74 3031 75 3132 76 3233 77 3334 78 3435 79 3536 79 3637 80 3738 81 3839 81 3940 82 4041 82 4142 83 4243 83 4344 84 4445 84 4546 84 4647 85 4748 85 4849 85 4950 86 5051 86 5152 86 5253 86 5354 87 5455 87 5556 87 5657 87 5758 87 5859 87 5960 87 6061 87 6162 86 6263 86 6364 86 6465 85 6566 85 6667 85 6768 84 6869 84 6970 84 7071 84 7172 84 7273 84 7374 84 7475 83 7576 83 7677 83 7778 83 7879 83 7980 83 8081 83 8182 83 8283 83 8384 82 8485 82 8586 82 8687 81 8788 80 8889 80 8990 79 9091 78 9192 77 9293 77 9394 76 9495 75 9596 74 9697 73 9798 72 9899 71 10000 71 10101 71
8fd6d6de42,
52b98a62e6,
5bbff609ed,1 5858 5862 98 5968 93 6074 88 6179 84 6284 80 6389 76 6494 72 6600 67 6707 61 6813 56 6919 51 7025 46 7129 43 7233 40 7336 38 7439 36 7542 29 7645 24 7747 21 7850 18 7952 15 8054 13 8156 11 8258 9 8360 8 8461 6 8563 5 8665 2
174789f4b8,
fd35db589d,
28c49076d1,36 66 137 66 239 65 341 64 443 63 545 62 647 61 749 60 852 58 954 57 1056 56 1158 55 1260 54 1362 53 1464 52 1565 52 1667 51 1769 50 1870 50 1972 49 2073 49 2175 48 2276 48 2378 47 2479 47 2580 47 2682 46 2783 46 2884 46 2985 46 3086 46 3187 46 3288 46 3389 46 3490 46 3591 46 3692 46 3793 46 3894 46 3995 46 4096 46 4197 46 4298 46 4399 46 4501 45 4603 44 4704 44 4805 44 4907 43 5008 43 5109 43 5210 43 5311 43 5412 43 5512 44 5613 44 5713 45 5812 47 5912 48 6010 51 6108 54 6205 58 6302 62 6399 66 6497 69 6596 71 6696 72 6795 74 6895 75 6995 76 7095 77 7195 78 7295 79 7395 80 7495 81 7595 82 7696 82 7796 83 7896 84 7996 85 8095 87 8195 88 8294 90 8394 91 8493 93 8591 96 8688 1514
5d36a9659e,
bc1c545371,5687 19 5781 32 5858 1 5876 46 5952 4250
5c665e8088,1 13 102 13 203 13 304 13 405 13 506 13 607 13 708 13 809 14 910 14 1011 14 1112 14 1213 14 1314 14 1415 13 1516 13 1617 13 1718 13 1819 13 1920 13 2021 13 2122 13 2223 13 2324 13 2425 13 2526 12 2627 12 2728 12 2829 12 2930 12 3031 12 3132 11 3233 11 3334 11 3435 11 3536 11 3637 11 3738 11 3839 11 3940 10 4041 10 4142 10 4243 10 4344 10 4445 9 4546 9 4647 9 4748 9 4849 8 4950 8 5051 7 5152 7 5253 7 5354 6 5456 5 5557 4 5658 4 5759 4 5861 2 5962 1 8990 5 9091 12 9192 17 9293 24 9394 35 9495 45 9596 58 9664 4 9697 75 9796 81 9897 81 9999 81 10097 3 10101 78
b9d7e04349,19 83 121 82 222 82 323 82 424 82 526 81 627 81 728 81 830 80 931 80 1032 80 1133 80 1234 80 1335 80 1435 81 1536 81 1636 82 1737 82 1838 82 1938 83 2038 84 2139 84 2239 85 2339 86 2440 86 2540 87 2641 87 2741 88 2842 88 2943 88 3043 89 3144 89 3245 89 3346 89 3447 89 3547 90 3648 90 3749 90 3850 90 3951 90 4052 90 4152 91 4253 91 4353 92 4454 92 4555 92 4655 93 4755 94 4856 94 4956 95 5056 96 5156 97 5256 98 5355 4847
1bae2bef94,1411 4 1508 8 1601 16 1696 22 1793 26 1889 31 1985 36 2080 42 2176 47 2271 53 2365 60 2461 65 2557 70 2653 75 2747 82 2842 3601 6461 77 6566 69 6667 65 6768 61 6869 57 6970 51 7075 41 7179 30 7283 13 7387 5
89a0972631,
15c00d00c4,1 40 102 41 203 41 304 42 405 43 506 43 607 44 708 45 809 46 910 46 1011 47 1112 47 1213 48 1314 49 1415 49 1516 50 1617 51 1718 52 1819 53 1920 54 2021 54 2122 55 2223 55 2324 56 2425 56 2526 57 2627 57 2728 57 2829 58 2930 58 3031 58 3132 59 3233 59 3334 59 3435 60 3536 60 3637 61 3738 62 3839 63 3940 63 4041 64 4142 66 4243 67 4344 68 4445 70 4546 72 4647 73 4748 75 4849 76 4950 77 5051 78 5152 79 5253 79 5354 80 5455 80 5556 81 5657 81 5758 81 5859 81 5960 82 6061 82 6162 82 6263 83 6364 83 6465 83 6566 84 6667 84 6768 85 6869 85 6970 86 7071 86 7172 86 7273 87 7374 87 7475 87 7576 88 7677 89 7778 89 7879 90 7980 90 8081 91 8182 91 8283 92 8384 92 8485 93 8586 93 8687 93 8788 94 8889 94 8990 94 9091 95 9192 95 9294 95 9397 93 9499 93 9601 92 9702 91 9804 90 9906 87 10007 89 10108 87
7a6ef8886b,76 26 178 25 280 24 383 22 486 20 590 17 693 15 796 13 899 11 1001 10 1104 8 1206 7 1309 5 1411 4 1512 4 1614 3 1716 2 1817 2 1918 2 2019 2 2120 2 2220 3 2321 3 2422 3 2524 2 2625 2 2727 1
24025d965a,
2265a9bb97,
63a0fa5b43,
88489834ac,
ac4eff5773,80 22 181 22 282 22 383 22 484 22 586 21 687 21 789 20 890 20 991 20 1093 19 1194 19 1296 18 1397 18 1498 18 1599 18 1700 18 1801 18 1902 18 2003 18 2104 18 2205 18 2306 18 2407 18 2508 18 2609 18 2710 18 2811 18 2913 17 3014 17 3116 16 3217 16 3318 16 3420 15 3521 15 3622 15 3724 14 3825 14 3926 14 4027 14 4127 15 4228 15 4328 16 4429 16 4530 16 4630 17 4730 18 4831 18 4931 19 5031 20 5132 20 5233 20 5333 21 5434 21 5534 22 5635 22 5736 22 5837 22 5937 23 6038 23 6139 23 6240 23 6340 24 6441 24 6542 24 6643 24 6743 25 6844 25 6945 25 7046 25 7147 25 7248 25 7349 25 7450 25 7552 24 7653 24 7754 24 7856 23 7958 22 8059 22 8161 21 8263 20 8364 20 8466 19 8568 18 8669 18 8771 17 8873 16 8974 16 9076 15 9178 14 9279 14 9380 14 9481 14 9583 13 9684 13 9785 13 9887 12 9988 12 10089 12 10190 12
fe5625c304,
0e991e3624,1 65 102 65 203 65 304 65 405 65 506 64 607 64 708 64 809 64 910 64 1011 64 1112 64 1213 64 1314 64 1415 64 1516 64 1617 64 1718 64 1819 64 1920 64 2021 65 2122 65 2223 65 2324 65 2425 65 2526 66 2627 66 2728 67 2829 67 2930 68 3031 69 3132 69 3233 71 3334 72 3435 73 3536 74 3637 76 3743 73 3847 72 3952 70 4057 67 4162 65 4268 62 4373 59 4478 56 4584 52 4690 48 4797 43 4902 40 5007 37 5112 35 5217 32 5322 29 5425 30 5529 27 5631 26 5733 25 5835 24 5938 22 6040 21 6142 20 6244 19 6347 17 6450 15 6554 12 6661 6
c5dded34ae,8687 6 8723 27 8786 1 8788 75 8881 1321
ea122de9b3,5149 3 5248 5 5347 7 5446 9 5544 12 5643 14 5741 17 5840 19 5939 21 6038 23 6136 26 6236 27 6335 29 6435 30 6534 32 6634 33 6733 35 6833 36 6932 38 7032 39 7131 41 7230 43 7329 45 7429 46 7528 48 7627 50 7727 51 7827 52 7927 53 8027 54 8128 54 8229 54 8330 54 8431 54 8533 53 8635 52 8737 51 8839 50 8942 48 9044 47 9146 46 9247 46 9349 45 9451 44 9552 44 9653 44 9754 44 9855 44 9956 44 10057 44 10159 43
fd0424be0f,
d2b9a9beea,
78884dad01,4138 4 4234 9 4330 14 4426 19 4523 23 4621 26 4719 29 4817 32 4914 36 5013 38 5111 41 5209 44 5308 46 5404 51 5503 53 5600 57 5698 60 5796 63 5893 67 5991 70 6090 72 6188 75 6285 79 6382 83 6480 86 6579 88 6678 90 6779 90 6880 90 6981 90 7082 81 7166 1 7169 3 7185 74 7287 69 7390 5 7438 12
4a08f295c0,
21fe3bdb52,3435 3 3536 7 3637 12 3738 16 3839 19 3940 23 4041 28 4142 33 4243 40 4344 46 4445 50 4546 55 4647 60 4748 67 4849 74 4950 79 5051 82 5152 85 5253 89 5354 95 5455 4747
887ccd9e4f,5656 1 5756 2 5857 2 5957 3 6058 3 6159 3 6259 4 6360 4 6461 4 6562 4 6663 4 6763 5 6864 5 6964 6 7065 6 7165 7 7265 8 7366 8 7466 9 7566 10 7667 10 7767 11 7867 12 7967 13 8067 14 8168 14 8268 15 8368 16 8468 17 8568 18 8668 19 8768 20 8869 20 8968 22 9069 22 9169 23 9269 24 9369 25 9469 26 9569 27 9669 28 9769 29 9869 30 9969 31 10070 31 10170 32
3b1a9d94cf,
d98ee3cef9,8381 3 8480 5 8579 7 8679 8 8778 10 8877 12 8975 15 9074 17 9151 6 9171 21 9248 45 9347 47 9445 50 9544 52 9643 54 9742 56 9841 58 9940 60 10041 60 10141 61
f526e6c2dc,1 4242 4246 98 4349 96 4451 95 4554 93 4656 92 4758 91 4860 90 4963 88 5065 87 5167 86 5269 85 5371 84 5472 84 5574 83 5676 82 5778 81 5880 80 5981 80 6083 79 6185 78 6287 77 6388 77 6490 76 6592 75 6693 75 6795 74 6896 74 6997 74 7098 74 7200 73 7301 73 7403 72 7504 72 7606 71 7708 70 7809 70 7911 69 8013 68 8115 67 8217 66 8319 65 8421 64 8523 63 8625 62 8727 61 8829 60 8931 59 9034 57 9136 56 9239 54 9341 53 9444 51 9546 50 9648 49 9750 48 9852 47 9954 46 10055 46 10157 45
7177b9576f,
63a1777e28,
5bf538ffa6,
c7d1e6fe7b,
6b7f4a1a91,1 4546 4548 27 4593 54 4651 17 4700 48 4761 1 4805 44 4910 40 5020 31 5129 4 5135 17 5251 2
233b762d1a,
00e9cff0f2,
4f7ba782e6,
49f33f1832,
2cf988af12,
25db63dca5,24 78 125 78 226 78 327 78 428 78 529 78 630 78 731 78 832 78 933 78 1033 79 1134 79 1235 79 1335 80 1436 80 1537 80 1638 80 1739 80 1839 81 1940 81 2041 81 2142 81 2242 82 2343 82 2444 82 2545 82 2646 82 2747 82 2847 83 2948 83 3049 83 3150 83 3250 84 3351 84 3452 84 3552 85 3653 85 3753 86 3854 86 3955 86 4056 86 4156 87 4257 87 4358 87 4458 88 4559 88 4660 88 4761 88 4862 88 4963 88 5064 88 5165 88 5266 88 5367 88 5468 88 5569 88 5670 88 5771 88 5872 88 5973 88 6074 88 6175 88 6276 88 6377 88 6478 88 6579 88 6680 88 6781 88 6882 88 6983 88 7085 87 7186 87 7287 87 7388 87 7489 87 7590 87 7692 86 7792 87 7893 87 7994 87 8095 87 8196 87 8297 87 8399 86 8500 86 8601 86 8702 86 8804 85 8905 85 9007 84 9109 83 9210 83 9312 82 9413 82 9515 81 9617 80 9719 79 9821 78 9922 78 10024 77 10126 76
f08c404497,
13d6e87328,1 45 102 44 203 44 304 44 405 44 506 43 607 43 708 42 809 42 910 42 1011 41 1112 41 1213 41 1314 41 1415 41 1516 41 1617 41 1718 41 1819 41 1920 41 2021 42 2122 42 2223 42 2324 43 2425 43 2526 43 2627 44 2728 44 2829 44 2930 45 3031 45 3132 45 3233 45 3334 46 3435 46 3536 47 3637 47 3738 48 3839 49 3940 50 4041 51 4142 52 4243 53 4344 54 4445 55 4546 56 4647 57 4748 58 4849 59 4950 61 5051 62 5152 63 5253 64 5354 65 5455 66 5556 67 5657 69 5758 70 5859 71 5960 72 6061 73 6162 73 6263 74 6364 75 6465 76 6566 77 6667 77 6768 78 6869 79 6970 79 7071 80 7172 80 7273 80 7374 81 7475 81 7576 82 7677 82 7778 83 7879 83 7980 84 8081 84 8182 84 8283 84 8384 85 8485 85 8586 85 8687 86 8788 86 8889 86 8990 87 9091 87 9192 88 9293 88 9394 88 9495 89 9596 90 9697 91 9798 92 9899 92 10000 93 10101 94
